sample_id,species_common_name,species_scientific_name,species_height_max,species_k,age_years,pruning_count,soil_depth,soil_inclination,soil_quality,soil_coverage,annual_rainfall,altitude,avg_temperature,has_fertilization,has_irrigation,nearby_trees_count,avg_neighbor_distance,wire_context,wire_height,fibonacci_modifier,canopy_ratio,soil_modifier,climate_modifier,management_modifier,total_modifier,estimated_height,annual_growth_m,height_next_year,days_to_wire,risk_status,will_reach_wire
678,Nim,Azadirachta indica,13.0,0.16,11.72,1,0.44,32.59,BAD,0.57,464.1,316.9,28.0,1,1,8,14.3,URBAN_MEDIUM_VOLTAGE,6.0,0.9161,1.1075,0.1545,0.9928,1.18,0.1584,3.34,0.242,3.58,7620,NORMAL,1
679,Catingueira,Caesalpinia pyramidalis,13.0,0.16,0.5,2,1.31,30.39,GOOD,0.84,659.8,427.6,28.7,0,1,9,3.4,URBAN_LOW_VOLTAGE,5.5,0.9068,0.8859,0.5981,1.032,1.1,0.5334,0.54,1.019,1.56,3270,NORMAL,1
680,Craibeira,Tabebuia aurea,7.0,0.18,0.5,0,0.79,14.91,GOOD,0.62,691.4,360.8,30.6,0,1,0,6.5,URBAN_LOW_VOLTAGE,5.5,1.0,1.22,0.4403,1.0383,1.1,0.5029,0.31,0.579,0.89,-1,NORMAL,0
681,Croton,Croton blanchetianus,5.0,0.25,38.13,3,1.51,36.38,GOOD,0.09,1068.0,405.5,24.7,0,1,10,10.5,URBAN_LOW_VOLTAGE,5.5,0.8301,1.0794,0.9979,1.08,1.1,0.9287,5.0,0.0,5.0,-1,UNDER_OBSERVATION,0
682,Carnauba,Copernicia prunifera,10.0,0.12,0.5,1,0.41,11.82,BAD,0.32,259.6,817.8,23.0,0,1,10,17.9,URBAN_LOW_VOLTAGE,5.5,0.9161,1.0794,0.179,0.6624,1.1,0.1128,0.07,0.134,0.2,34920,NORMAL,1
683,Cenostigma,Cenostigma pyramidale,20.0,0.08,0.5,6,0.5,1.79,GOOD,0.13,257.4,29.9,21.0,0,1,2,6.8,URBAN_LOW_VOLTAGE,5.5,0.7202,1.184,0.3755,0.72,1.1,0.2111,0.17,0.332,0.5,9510,NORMAL,1
684,Oiticica,Licania rigida,15.0,0.1,8.9,7,1.11,9.64,GOOD,0.35,804.8,727.4,24.9,0,0,7,10.0,RURAL_DISTRIBUTION,7.0,0.7199,1.1216,0.7291,0.9761,1.0,0.4921,5.32,0.465,5.79,2460,TO_PRUNE,1
685,Oiticica,Licania rigida,15.0,0.1,28.4,6,1.73,16.28,GOOD,0.75,563.8,57.8,25.5,0,1,6,8.9,URBAN_MEDIUM_VOLTAGE,6.0,0.7202,1.1356,0.7761,1.0128,1.1,0.6017,12.28,0.159,12.44,0,CRITICAL,1
686,Nim,Azadirachta indica,13.0,0.16,0.5,8,1.81,29.07,BAD,0.14,750.1,700.3,26.6,0,0,2,14.3,URBAN_LOW_VOLTAGE,5.5,0.72,1.1919,0.6672,0.966,1.0,0.4589,0.47,0.887,1.36,3840,NORMAL,1
687,Nim,Azadirachta indica,20.0,0.08,0.5,5,0.82,24.09,REGULAR,0.83,941.5,449.3,28.0,0,1,5,3.0,URBAN_LOW_VOLTAGE,5.5,0.7244,1.0231,0.3458,1.08,1.1,0.2742,0.22,0.429,0.65,7260,NORMAL,1
688,Croton,Croton blanchetianus,12.0,0.18,0.5,4,1.37,42.04,REGULAR,0.53,616.7,188.3,24.4,1,1,9,8.5,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.0934,0.6364,1.0233,1.18,0.5704,0.6,1.112,1.71,3630,NORMAL,1
689,Apuleia,Apuleia leiocarpa,20.0,0.08,35.52,4,0.62,30.87,BAD,0.49,381.0,531.9,20.9,1,0,3,11.4,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.1778,0.229,0.9762,1.08,0.1856,8.2,0.174,8.37,0,CRITICAL,1
690,Sabiá,Mimosa caesalpiniifolia,18.0,0.09,0.5,7,1.52,41.96,REGULAR,0.48,376.6,242.2,31.0,1,1,3,5.9,RURAL_DISTRIBUTION,7.0,0.7199,1.1508,0.7216,0.9753,1.18,0.5813,0.46,0.894,1.35,4800,NORMAL,1
691,Nim,Azadirachta indica,13.0,0.16,26.99,7,1.04,14.09,GOOD,0.16,448.6,68.0,29.5,1,0,1,16.8,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,1.2059,0.7336,0.9897,1.08,0.5613,11.85,0.099,11.95,0,CRITICAL,1
692,Algaroba,Prosopis juliflora,18.0,0.09,0.51,5,1.96,32.38,REGULAR,0.39,445.6,522.1,24.3,0,0,0,10.6,URBAN_LOW_VOLTAGE,5.5,0.7244,1.22,0.7894,0.9891,1.0,0.5656,0.46,0.871,1.33,3480,NORMAL,1
693,Fabaceae,Fabaceae sp.,10.0,0.13,0.5,0,1.92,4.1,BAD,0.55,520.6,377.6,23.6,0,0,4,3.3,URBAN_LOW_VOLTAGE,5.5,1.0,1.0693,0.6048,1.0041,1.0,0.5707,0.36,0.689,1.05,6180,NORMAL,1
694,Nim,Azadirachta indica,12.0,0.18,0.5,1,1.74,18.38,REGULAR,0.4,840.0,561.2,25.7,1,0,10,9.6,URBAN_MEDIUM_VOLTAGE,6.0,0.9161,1.0794,0.8343,1.068,1.08,0.8319,0.87,1.548,2.42,2010,NORMAL,1
695,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,1.42,8,1.35,37.72,BAD,0.18,1083.3,168.2,26.4,1,1,4,5.6,URBAN_LOW_VOLTAGE,5.5,0.72,1.121,0.5629,1.08,1.18,0.496,1.18,0.739,1.92,5430,NORMAL,1
696,Algaroba,Prosopis juliflora,20.0,0.08,0.5,3,1.4,2.91,BAD,0.72,638.9,355.3,26.8,1,0,6,5.7,URBAN_LOW_VOLTAGE,5.5,0.8301,1.0749,0.5104,1.0278,1.08,0.443,0.35,0.684,1.03,4410,NORMAL,1
697,Fabaceae,Fabaceae sp.,10.0,0.13,0.5,3,1.75,29.03,BAD,0.48,655.1,221.2,28.3,0,1,1,10.2,URBAN_LOW_VOLTAGE,5.5,0.8301,1.2059,0.566,1.031,1.1,0.5299,0.34,0.643,0.98,6690,NORMAL,1
698,Geoffroea,Geoffroea spinosa,15.0,0.08,0.5,2,0.69,14.02,BAD,0.06,1053.4,523.9,24.9,1,0,3,1.8,RURAL_DISTRIBUTION,7.0,0.9068,1.0816,0.3361,1.08,1.08,0.3358,0.2,0.392,0.59,12810,NORMAL,1
699,Catingueira,Caesalpinia pyramidalis,8.0,0.15,3.5,1,0.76,35.24,BAD,0.11,643.6,656.4,27.1,0,1,2,4.3,URBAN_LOW_VOLTAGE,5.5,0.9161,1.1559,0.3306,0.9464,1.1,0.3072,1.19,0.307,1.5,17700,NORMAL,1
700,Oiticica,Licania rigida,15.0,0.1,38.85,5,1.28,12.57,GOOD,0.41,964.3,162.6,27.6,1,0,0,6.2,URBAN_LOW_VOLTAGE,5.5,0.7244,1.22,0.8062,1.08,1.08,0.6812,13.94,0.07,14.01,0,CRITICAL,1
701,Cenostigma,Cenostigma pyramidale,7.0,0.16,18.08,8,1.53,40.0,REGULAR,0.87,947.2,552.9,31.5,1,1,2,9.8,URBAN_LOW_VOLTAGE,5.5,0.72,1.1919,0.5788,1.08,1.18,0.5251,5.47,0.123,5.59,-1,UNDER_OBSERVATION,0
702,Oiticica,Licania rigida,15.0,0.1,3.77,5,1.73,5.2,REGULAR,0.34,681.6,209.7,32.7,1,0,10,14.6,URBAN_LOW_VOLTAGE,5.5,0.7244,1.0794,0.9071,1.0363,1.08,0.694,3.45,0.774,4.22,1590,NORMAL,1
703,Apuleia,Apuleia leiocarpa,10.0,0.12,0.5,7,0.98,32.08,REGULAR,0.79,677.4,65.2,30.1,0,1,7,16.5,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,1.1216,0.4094,1.0355,1.1,0.3225,0.19,0.372,0.56,14760,NORMAL,1
704,Catingueira,Caesalpinia pyramidalis,8.0,0.15,27.12,5,1.7,24.82,GOOD,0.84,955.1,330.2,20.7,1,0,0,9.9,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.22,0.7073,1.08,1.08,0.5976,7.3,0.06,7.36,0,CRITICAL,1
705,Angico,Anadenanthera colubrina,13.0,0.16,0.5,7,0.89,14.69,REGULAR,0.05,707.0,405.8,26.7,0,0,2,16.9,URBAN_LOW_VOLTAGE,5.5,0.7199,1.1919,0.5868,1.0414,1.0,0.435,0.44,0.844,1.28,4080,NORMAL,1
706,Nim,Azadirachta indica,13.0,0.16,33.05,4,0.54,34.29,GOOD,0.08,630.9,56.9,23.3,1,0,6,10.5,URBAN_LOW_VOLTAGE,5.5,0.7819,1.1356,0.3618,1.0262,1.08,0.303,10.38,0.124,10.5,0,CRITICAL,1
707,Algaroba,Prosopis juliflora,12.0,0.18,44.6,2,1.76,11.95,REGULAR,0.71,332.0,120.5,31.6,1,1,7,17.3,URBAN_LOW_VOLTAGE,5.5,0.9068,1.1216,0.7227,0.72,1.18,0.5348,11.84,0.015,11.86,0,CRITICAL,1
708,Apuleia,Apuleia leiocarpa,20.0,0.08,40.61,5,1.37,14.69,GOOD,0.6,994.5,620.7,34.1,0,0,0,8.7,URBAN_LOW_VOLTAGE,5.5,0.7244,1.22,0.773,0.9936,1.0,0.5564,16.72,0.143,16.86,0,CRITICAL,1
709,Craibeira,Tabebuia aurea,14.0,0.11,22.7,6,0.39,26.63,REGULAR,0.1,536.6,709.5,29.6,0,0,8,9.8,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1075,0.2392,0.9267,1.0,0.1525,4.43,0.159,4.59,4170,TO_PRUNE,1
710,Sabiá,Mimosa caesalpiniifolia,18.0,0.09,0.8,3,0.58,21.65,BAD,0.06,250.0,403.3,28.9,1,0,5,17.0,URBAN_LOW_VOLTAGE,5.5,0.8301,1.1497,0.2737,0.72,1.08,0.1717,0.22,0.273,0.49,11820,NORMAL,1
711,Apuleia,Apuleia leiocarpa,12.0,0.18,0.5,3,0.99,38.23,REGULAR,0.22,865.3,546.2,30.3,0,0,1,14.6,URBAN_LOW_VOLTAGE,5.5,0.8301,1.2059,0.5464,1.0731,1.0,0.484,0.51,0.959,1.47,3690,NORMAL,1
712,Nim,Azadirachta indica,13.0,0.16,40.4,2,1.99,0.09,GOOD,0.03,250.0,617.3,27.9,0,1,5,3.1,RURAL_DISTRIBUTION,7.0,0.9068,1.0259,1.1939,0.6624,1.1,0.7276,12.88,0.013,12.89,0,CRITICAL,1
713,Euphorbiaceae,Euphorbiaceae sp.,6.0,0.2,0.5,3,1.64,40.37,REGULAR,0.1,787.5,483.0,29.4,0,1,9,15.6,URBAN_LOW_VOLTAGE,5.5,0.8301,1.0934,0.8722,1.0575,1.1,0.7996,0.46,0.819,1.28,-1,NORMAL,0
714,Carnauba,Copernicia prunifera,15.0,0.08,4.78,3,1.47,1.44,REGULAR,0.6,1070.1,335.7,27.1,1,1,3,14.6,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.1778,0.781,1.08,1.18,0.8122,4.0,0.692,4.69,1560,NORMAL,1
715,Oiticica,Licania rigida,15.0,0.1,11.21,2,1.5,1.66,GOOD,0.53,678.4,84.6,31.5,0,1,6,8.3,RURAL_DISTRIBUTION,7.0,0.9068,1.1356,0.9269,1.0357,1.1,0.9253,9.68,0.47,10.15,0,CRITICAL,1
716,Bauhinia,Bauhinia,8.0,0.14,25.07,4,1.89,9.44,REGULAR,0.59,619.7,323.7,29.6,1,1,10,17.4,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.0794,0.7826,1.0239,1.18,0.6977,7.31,0.064,7.37,0,CRITICAL,1
717,Nim,Azadirachta indica,13.0,0.16,6.41,5,1.57,31.83,BAD,0.28,1045.4,635.9,31.0,1,1,2,2.2,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1322,0.6179,0.9936,1.18,0.5064,5.27,0.602,5.87,240,UNDER_OBSERVATION,1
718,Nim,Azadirachta indica,13.0,0.16,43.09,3,1.53,18.8,GOOD,0.57,1081.1,348.3,30.3,0,0,5,12.7,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.1497,0.8528,1.08,1.0,0.7431,12.92,0.009,12.93,0,CRITICAL,1
719,Craibeira,Tabebuia aurea,14.0,0.11,24.12,8,1.99,27.56,BAD,0.18,1061.6,54.7,26.7,0,1,9,11.8,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.0934,0.6596,1.08,1.1,0.5356,10.62,0.193,10.81,0,CRITICAL,1
720,Apuleia,Apuleia leiocarpa,20.0,0.08,19.07,7,1.85,27.39,GOOD,0.83,855.2,252.9,31.9,1,1,4,1.6,URBAN_LOW_VOLTAGE,5.5,0.7199,1.031,0.704,1.071,1.18,0.5921,11.9,0.375,12.28,0,CRITICAL,1
721,Croton,Croton blanchetianus,5.0,0.25,0.5,0,1.03,43.14,REGULAR,0.48,1059.5,713.4,31.1,1,0,8,12.4,URBAN_LOW_VOLTAGE,5.5,1.0,1.1075,0.4888,0.9936,1.08,0.5009,0.3,0.553,0.85,-1,NORMAL,0
722,Apuleia,Apuleia leiocarpa,5.0,0.25,0.5,8,1.53,7.98,BAD,0.18,772.5,589.2,23.4,1,1,2,16.4,URBAN_LOW_VOLTAGE,5.5,0.72,1.1919,0.7159,1.0545,1.18,0.6342,0.38,0.677,1.06,-1,NORMAL,0
723,Cenostigma,Cenostigma pyramidale,5.0,0.25,0.5,4,2.0,31.12,BAD,0.06,276.1,719.1,23.4,0,1,8,3.5,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,0.9275,0.6848,0.6624,1.1,0.3445,0.21,0.395,0.6,-1,NORMAL,0
724,Sabiá,Mimosa caesalpiniifolia,14.0,0.11,0.5,5,0.6,36.3,BAD,0.85,515.1,479.4,28.2,1,0,5,15.6,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.1497,0.1751,1.003,1.08,0.1335,0.1,0.203,0.3,20550,NORMAL,1
725,Cenostigma,Cenostigma pyramidale,8.0,0.15,0.5,3,0.58,27.95,REGULAR,0.7,795.6,893.9,22.9,1,1,6,6.8,URBAN_LOW_VOLTAGE,5.5,0.8301,1.112,0.2607,0.9744,1.18,0.2381,0.14,0.276,0.42,24810,NORMAL,1
726,Algaroba,Prosopis juliflora,12.0,0.18,20.65,0,1.27,0.77,BAD,0.84,791.7,757.0,28.1,0,0,7,9.7,RURAL_DISTRIBUTION,7.0,1.0,1.1216,0.4332,0.9737,1.0,0.4052,9.34,0.187,9.53,0,CRITICAL,1
727,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,5.83,0,1.64,28.71,GOOD,0.28,864.3,775.6,23.7,0,1,6,18.0,URBAN_LOW_VOLTAGE,5.5,1.0,1.1356,0.9482,0.987,1.1,0.9948,6.18,0.509,6.69,0,CRITICAL,1
728,Catingueira,Caesalpinia pyramidalis,8.0,0.15,43.89,5,0.43,13.88,REGULAR,0.37,461.2,182.6,27.3,0,1,1,3.1,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1812,0.2454,0.9922,1.1,0.191,5.72,0.064,5.78,0,CRITICAL,1
729,Croton,Croton blanchetianus,5.0,0.25,0.5,3,1.29,3.55,GOOD,0.25,973.5,496.3,27.6,1,1,1,16.3,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.2059,0.9109,1.08,1.18,0.9582,0.56,0.946,1.51,-1,NORMAL,0
730,Catingueira,Caesalpinia pyramidalis,7.0,0.16,0.5,4,1.56,6.16,GOOD,0.85,735.6,439.7,26.8,0,1,2,11.2,URBAN_LOW_VOLTAGE,5.5,0.7819,1.1919,0.7591,1.0471,1.1,0.676,0.37,0.68,1.05,-1,NORMAL,0
731,Catingueira,Caesalpinia pyramidalis,8.0,0.15,15.37,2,1.4,25.61,GOOD,0.57,790.3,862.4,30.8,1,0,10,10.1,URBAN_LOW_VOLTAGE,5.5,0.9068,1.0794,0.767,0.9734,1.08,0.69,6.37,0.16,6.53,0,CRITICAL,1
732,Cenostigma,Cenostigma pyramidale,7.0,0.16,37.96,7,1.23,2.67,GOOD,0.55,470.3,277.6,25.9,1,0,9,15.6,URBAN_LOW_VOLTAGE,5.5,0.7199,1.0934,0.7488,0.9941,1.08,0.5495,6.75,0.021,6.77,0,CRITICAL,1
733,Fabaceae,Fabaceae sp.,10.0,0.13,0.5,6,1.3,33.61,BAD,0.12,383.4,125.6,28.0,0,0,3,13.8,URBAN_MEDIUM_VOLTAGE,6.0,0.7202,1.1778,0.5672,0.9767,1.0,0.3922,0.25,0.485,0.73,11130,NORMAL,1
734,Juazeiro,Ziziphus joazeiro,10.0,0.12,43.45,4,1.93,25.86,BAD,0.19,652.6,413.4,21.8,0,1,5,17.6,URBAN_LOW_VOLTAGE,5.5,0.7819,1.1497,0.6615,1.0305,1.1,0.5698,9.49,0.034,9.52,0,CRITICAL,1
735,Craibeira,Tabebuia aurea,14.0,0.11,20.23,3,1.76,6.57,REGULAR,0.32,814.6,855.2,26.6,1,1,2,2.5,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.1356,0.911,0.9779,1.18,0.8432,11.86,0.19,12.05,0,CRITICAL,1
736,Carnauba,Copernicia prunifera,10.0,0.12,0.5,6,0.49,12.92,REGULAR,0.25,673.0,711.4,27.4,1,1,10,5.2,URBAN_LOW_VOLTAGE,5.5,0.7202,0.95,0.2975,0.9518,1.18,0.2147,0.13,0.251,0.38,18240,NORMAL,1
737,Geoffroea,Geoffroea spinosa,10.0,0.12,21.72,6,0.76,21.62,REGULAR,0.81,693.5,854.7,27.8,0,1,5,10.1,URBAN_MEDIUM_VOLTAGE,6.0,0.7202,1.1497,0.3281,0.9556,1.1,0.2414,4.67,0.152,4.82,7890,TO_PRUNE,1
738,Fabaceae,Fabaceae sp.,10.0,0.13,0.5,6,0.33,25.52,GOOD,0.22,288.8,686.8,29.0,0,1,8,1.6,RURAL_DISTRIBUTION,7.0,0.7202,0.842,0.2158,0.6624,1.1,0.0961,0.06,0.123,0.18,-1,NORMAL,0
739,Angico,Anadenanthera colubrina,18.0,0.09,1.07,0,1.12,8.43,BAD,0.28,827.1,728.0,28.2,1,0,6,9.3,URBAN_LOW_VOLTAGE,5.5,1.0,1.1356,0.5053,0.9802,1.08,0.5169,0.87,0.779,1.65,3540,NORMAL,1
740,Geoffroea,Geoffroea spinosa,10.0,0.12,0.5,7,1.59,23.96,REGULAR,0.2,348.9,140.6,26.5,1,1,8,17.9,URBAN_LOW_VOLTAGE,5.5,0.7199,1.1075,0.8971,0.72,1.18,0.524,0.31,0.591,0.9,7350,NORMAL,1
741,Carnauba,Copernicia prunifera,15.0,0.08,20.14,2,0.68,9.65,REGULAR,0.09,1167.6,805.9,27.6,1,0,0,9.4,URBAN_LOW_VOLTAGE,5.5,0.9068,1.22,0.4498,0.9936,1.08,0.4377,7.59,0.255,7.84,0,CRITICAL,1
742,Apuleia,Apuleia leiocarpa,8.0,0.14,37.97,3,0.8,5.0,REGULAR,0.2,680.0,150.0,27.8,1,1,1,3.0,URBAN_LOW_VOLTAGE,5.5,0.8301,1.1806,0.5133,1.036,1.18,0.5127,7.48,0.036,7.52,0,CRITICAL,1
743,Craibeira,Tabebuia aurea,14.0,0.11,0.5,5,1.89,33.9,BAD,0.63,746.8,262.2,25.0,0,0,3,15.2,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1778,0.5102,1.0494,1.0,0.3813,0.29,0.563,0.85,6150,NORMAL,1
744,Euphorbiaceae,Euphorbiaceae sp.,6.0,0.2,0.5,2,0.35,32.66,BAD,0.18,1082.2,283.6,28.1,0,0,7,7.7,URBAN_LOW_VOLTAGE,5.5,0.9068,1.1216,0.1493,1.08,1.0,0.1405,0.08,0.164,0.24,-1,NORMAL,0
745,Bauhinia,Bauhinia,15.0,0.1,0.5,6,0.48,34.4,GOOD,0.07,645.9,635.7,21.0,1,1,2,15.2,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1919,0.3229,0.9468,1.18,0.2569,0.19,0.376,0.57,9180,NORMAL,1
746,Oiticica,Licania rigida,15.0,0.1,42.94,6,0.59,37.65,REGULAR,0.25,590.1,665.4,26.2,1,0,9,3.4,URBAN_MEDIUM_VOLTAGE,6.0,0.7202,0.8859,0.322,0.9366,1.08,0.2032,8.73,0.126,8.86,0,CRITICAL,1
747,Oiticica,Licania rigida,15.0,0.1,33.3,8,1.91,5.09,REGULAR,0.36,887.5,738.7,31.0,0,0,8,10.6,URBAN_LOW_VOLTAGE,5.5,0.72,1.1075,0.8986,0.9913,1.0,0.6125,13.05,0.116,13.17,0,CRITICAL,1
748,Craibeira,Tabebuia aurea,14.0,0.11,12.12,8,0.53,8.02,REGULAR,0.44,841.5,715.2,28.1,0,1,1,8.5,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.2059,0.299,0.9828,1.1,0.2314,3.72,0.258,3.98,5820,NORMAL,1
749,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,0.5,4,1.99,15.2,GOOD,0.69,1149.0,628.0,33.7,0,1,2,14.0,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.1919,0.8083,0.9936,1.1,0.683,0.59,1.074,1.66,5550,NORMAL,1
750,Catingueira,Caesalpinia pyramidalis,8.0,0.15,31.11,7,1.92,4.42,BAD,0.58,504.9,353.6,30.0,1,0,1,10.5,URBAN_LOW_VOLTAGE,5.5,0.7199,1.2059,0.5941,1.001,1.08,0.4598,7.06,0.063,7.12,0,CRITICAL,1
751,Carnauba,Copernicia prunifera,15.0,0.08,21.72,7,1.19,34.56,GOOD,0.16,890.2,713.7,25.2,1,1,0,2.2,URBAN_LOW_VOLTAGE,5.5,0.7199,1.22,0.7687,0.9918,1.18,0.6476,10.13,0.246,10.38,0,CRITICAL,1
752,Apuleia,Apuleia leiocarpa,20.0,0.08,11.43,5,1.38,3.99,BAD,0.46,718.2,515.4,25.4,1,0,5,7.6,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1497,0.5794,1.0436,1.08,0.4598,6.86,0.475,7.33,0,CRITICAL,1
753,Cenostigma,Cenostigma pyramidale,20.0,0.08,0.5,0,1.24,1.77,REGULAR,0.05,521.6,773.3,27.8,0,0,2,2.6,URBAN_LOW_VOLTAGE,5.5,1.0,1.1367,0.8611,0.924,1.0,0.7692,0.61,1.157,1.77,2370,NORMAL,1
754,Geoffroea,Geoffroea spinosa,10.0,0.12,0.5,8,0.51,25.01,BAD,0.66,378.0,866.7,28.6,1,1,3,10.0,URBAN_LOW_VOLTAGE,5.5,0.72,1.1778,0.1759,0.8976,1.18,0.1319,0.08,0.156,0.24,29820,NORMAL,1
755,Carnauba,Copernicia prunifera,15.0,0.08,29.32,6,0.76,6.97,GOOD,0.13,588.2,658.9,27.3,1,1,4,4.1,URBAN_LOW_VOLTAGE,5.5,0.7202,1.0873,0.5592,0.9362,1.18,0.4213,9.42,0.185,9.61,0,CRITICAL,1
756,Sabiá,Mimosa caesalpiniifolia,7.0,0.16,0.5,8,1.03,4.68,REGULAR,0.07,638.5,680.3,23.1,0,1,5,10.5,URBAN_LOW_VOLTAGE,5.5,0.72,1.1497,0.7011,0.9455,1.1,0.5103,0.28,0.527,0.81,-1,NORMAL,0
757,Bauhinia,Bauhinia,8.0,0.14,0.5,6,0.82,35.64,REGULAR,0.46,1052.8,826.3,24.3,0,1,5,13.5,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1497,0.4071,0.9936,1.1,0.3114,0.17,0.334,0.5,20310,NORMAL,1
758,Piptadenia,Piptadenia moniliformis,7.0,0.18,3.24,5,0.36,30.91,GOOD,0.89,605.5,210.2,23.7,1,0,6,13.5,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.1356,0.1587,1.0211,1.08,0.1225,0.48,0.142,0.62,-1,NORMAL,0
759,Catingueira,Caesalpinia pyramidalis,8.0,0.15,4.71,7,1.19,32.46,GOOD,0.49,747.9,542.1,27.8,0,0,6,12.1,RURAL_DISTRIBUTION,7.0,0.7199,1.1356,0.6606,1.0496,1.0,0.4823,2.31,0.397,2.71,-1,NORMAL,0
760,Geoffroea,Geoffroea spinosa,12.0,0.18,0.5,1,1.93,41.32,BAD,0.69,668.6,892.5,29.4,0,0,2,4.9,URBAN_LOW_VOLTAGE,5.5,0.9161,1.1626,0.4764,0.951,1.0,0.4055,0.43,0.814,1.24,4440,NORMAL,1
761,Croton,Croton blanchetianus,5.0,0.25,5.25,6,0.49,5.76,BAD,0.47,535.2,457.7,33.7,0,1,0,16.1,URBAN_MEDIUM_VOLTAGE,6.0,0.7202,1.22,0.2032,1.007,1.1,0.1621,0.96,0.16,1.12,-1,NORMAL,0
762,Juazeiro,Ziziphus joazeiro,8.0,0.15,0.5,1,0.83,3.19,GOOD,0.78,818.1,115.8,25.6,1,1,0,11.2,URBAN_MEDIUM_VOLTAGE,6.0,0.9161,1.22,0.4409,1.0636,1.18,0.5069,0.3,0.564,0.86,-1,NORMAL,0
763,Geoffroea,Geoffroea spinosa,5.0,0.25,0.5,3,1.33,22.76,GOOD,0.22,577.6,87.5,31.7,0,1,0,15.2,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.22,0.8802,1.0155,1.1,0.8162,0.48,0.834,1.31,-1,NORMAL,0
764,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,11.08,6,1.03,43.48,BAD,0.04,779.0,133.3,24.5,0,0,6,4.0,URBAN_LOW_VOLTAGE,5.5,0.7202,1.0175,0.4448,1.0558,1.0,0.3108,4.48,0.272,4.75,3480,TO_PRUNE,1
765,Catingueira,Caesalpinia pyramidalis,7.0,0.16,0.5,3,0.73,15.32,GOOD,0.74,704.0,523.4,26.5,1,0,9,5.0,URBAN_LOW_VOLTAGE,5.5,0.8301,0.9669,0.3785,1.0408,1.08,0.3174,0.18,0.338,0.52,-1,NORMAL,0
766,Catingueira,Caesalpinia pyramidalis,15.0,0.08,0.5,8,0.31,23.75,REGULAR,0.7,625.6,779.3,27.2,0,0,10,7.7,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.0794,0.1419,0.9431,1.0,0.0909,0.07,0.149,0.22,-1,NORMAL,0
767,Nim,Azadirachta indica,9.0,0.2,0.5,0,1.33,2.14,REGULAR,0.89,731.1,274.6,32.9,1,1,9,14.8,URBAN_LOW_VOLTAGE,5.5,1.0,1.0934,0.5899,1.0462,1.18,0.6914,0.6,1.085,1.69,4170,NORMAL,1
768,Croton,Croton blanchetianus,5.0,0.25,28.26,6,1.6,25.77,REGULAR,0.78,1032.8,584.7,32.3,1,0,8,6.4,URBAN_LOW_VOLTAGE,5.5,0.7202,1.058,0.6534,1.08,1.08,0.5133,4.87,0.016,4.89,-1,UNDER_OBSERVATION,0
769,Bauhinia,Bauhinia,5.0,0.25,0.5,3,0.55,25.44,REGULAR,0.02,700.2,564.5,24.9,0,0,4,14.4,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.1638,0.351,1.04,1.0,0.2962,0.18,0.344,0.52,-1,NORMAL,0
770,Carnauba,Copernicia prunifera,15.0,0.08,1.06,0,0.99,31.49,BAD,0.43,658.3,692.1,25.8,1,0,8,11.5,URBAN_LOW_VOLTAGE,5.5,1.0,1.1075,0.3763,0.9491,1.08,0.3684,0.46,0.422,0.88,7710,NORMAL,1
771,Apuleia,Apuleia leiocarpa,20.0,0.08,16.6,3,1.83,23.41,BAD,0.81,1264.5,883.2,24.7,1,1,0,10.6,URBAN_MEDIUM_VOLTAGE,6.0,0.8301,1.22,0.4793,0.9936,1.18,0.4665,9.24,0.394,9.63,0,CRITICAL,1
